comment_id,text,label,annotator_id,social_group,probs,brier_score
Ugw-4AhDDIPtUPBMNjZ4AaABAg,"On stage, she's acting, off stage - That's ellen, that's real.",1.0,80514039f2440568f87657f295d732a1,Female,"{""1"": 0.48798865407331266, ""2"": 0.21654364790346953, ""3"": 0.12146998119686357, ""4"": 0.17399771682635423}",0.08851923289943754
Ugw-8-4r_ie_L9ZQ5zd4AaABAg,"… and here comes Ted Cruz, carrying what appears to be the final nail in the Ellen coffin",2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.2606339762082539, ""2"": 0.20298196929944257, ""3"": 0.2410470517911661, ""4"": 0.29533700270113744}",0.21212385928940602
Ugw-8Nqin-FLbUbF6114AaABAg,"Helen is such a hypocrite, tells people to be nice and not bully people. Helen is going to be nice to celebrities of course she is..",2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.2328106984305182, ""2"": 0.25172838957751253, ""3"": 0.14343050963112924, ""4"": 0.37203040236084006}",0.19327253891044563
Ugw-Coi_2IQKUwIZnN14AaABAg,"It's not about being racist but respecting the original created characters who we have grown up with and loved whatever characteristics they may have. We even have Princess and the Frog, Mulan, Moana, and Encanto showing different ethnicity including their culture. We can create new characters that would serve as a role model for generations to come.",1.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.3511395691280554, ""2"": 0.2956891859502364, ""3"": 0.17382668531063422, ""4"": 0.17934455961107398}",0.14270803525685283
Ugw-XhqZFNM7Z1aSiMt4AaABAg,If Ted Cruz is in your corner.....you're a loser.,3.0,5b0a7f3d17b66540674a4305eb32604e,Male,"{""1"": 0.3158715552836121, ""2"": 0.2578068594690531, ""3"": 0.19158577991325076, ""4"": 0.23473580533408409}",0.21871841644272302
Ugw-z2euYCdy_8PlvCp4AaABAg,This audio sounds like made by ai.,2.0,80514039f2440568f87657f295d732a1,Female,"{""1"": 0.39013827129207634, ""2"": 0.24414229946517005, ""3"": 0.18428827409383505, ""4"": 0.18143115514891858}",0.19760204155293148
Ugw-zAoUth-zJSm-Rk14AaABAg,Kanye is just tryna get attention &amp,2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.35352535228217385, ""2"": 0.2796615687264643, ""3"": 0.18340653949568092, ""4"": 0.18340653949568092}",0.17778588693385378
Ugw0Azrl35Lsi3YKzEp4AaABAg,"That’s Ai generated, don’t let this fool you",2.0,2dc0ccbf44154f06a0a8bf39a76e3e25,Female,"{""1"": 0.3721300650046622, ""2"": 0.2597886382099038, ""3"": 0.2055097159892227, ""4"": 0.1625715807962113}",0.18876435191301824
Ugw0LNU6yznhlqbjGHx4AaABAg,When a news segment is about someones tweet lmao. get a soul why dont ya,1.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.28287436541714345, ""2"": 0.2272959546397533, ""3"": 0.20695531452595978, ""4"": 0.28287436541714345}",0.172195258898038
Ugw0SKomzyhYyP_9cO14AaABAg,So she hates the trans community?,1.0,e82b8b10b5ddbb8ebf76bf7f1fc7f150,Female,"{""1"": 0.3261974129456245, ""2"": 0.2424093273225064, ""3"": 0.1773504505748239, ""4"": 0.25404280915704525}",0.15219078487440382
