annotator_id,brier_score_avg,brier_score_Q1,brier_score_Q2,brier_score_Q3,fraction_agreement_avg,fraction_agreement_Q1,fraction_agreement_Q2,fraction_agreement_Q3,num_annotation,social_group
R_00wQLzB0CBCpsLT,0.16110889640905368,0.1374121001402489,0.1767578485322055,0.20549994818708578,37.40908872104139,13.3147512864494,29.166666666666668,58.033192090395474,26,1
R_02E7TPf0hcFBzvX,0.18911731915398552,0.1609123577987662,0.1973866459413339,0.2197956377407171,42.01625222071344,17.16101694915254,35.446859903381636,70.11194029850748,42,1
R_02Kt90m9vxg3qx3,0.15521478003853265,0.12876985469888313,0.1553825807537273,0.20242337314166636,27.55622466454636,9.166666666666666,17.647058823529413,36.734693877551024,35,-1
R_03zHCPW7jmu3zUt,0.15564876517815246,0.11993103348835496,0.155729627794002,0.200385058750835,31.781902294535016,13.068181818181818,26.08695652173913,40.48913043478261,35,1
R_06w1AH73d5x2rER,0.22617250711544187,0.21543883558226526,0.2258576794315399,0.2461472921527389,51.53965099501414,44.020119225037256,53.54662698412699,57.14569011105235,42,1
R_07EVuCrrv9iU7kd,0.19756181846131052,0.1846819708325193,0.1976436879433553,0.22466900374121163,38.2779662575517,17.5,34.18181818181819,58.44155844155844,42,1
R_08k0oEpLpOfXfHP,0.21409528279933085,0.205007012665481,0.2197956377407171,0.2303993934533348,52.17145283247763,30.76923076923077,59.42028985507246,71.42857142857143,41,1
R_0Ap4o4zDiTO8ipH,0.2008259437288089,0.18444971472838104,0.2087406638007592,0.2235473756825547,49.42469004978717,21.73913043478261,50.0,78.34448160535118,40,1
R_0BSFHrCnP43QFXP,0.20259061509418733,0.18336121054509655,0.2183743447723944,0.2343162589105699,34.62853989067623,20.689655172413797,33.92857142857143,45.53571428571429,35,1
R_0CEI9iJX3pR8wQV,0.19695364368902002,0.16456662526432703,0.191285071283568,0.22224153082566997,34.53637645257193,16.666666666666664,25.0,51.13636363636364,34,1
R_0GmAJcYHmwHRJ7j,0.1792728155502458,0.16850226120720527,0.21560610928758844,0.23764388141333914,63.857208214705615,43.97233201581028,62.390414962010524,77.17391304347825,42,1
R_0HrEdPUv57cAc3n,0.21190384778852256,0.1929850010438909,0.2206248720336857,0.2389587066572372,38.66858764684671,24.948240165631468,40.909090909090914,51.51068533529845,35,1
R_0Jo7SIRQYBCmocF,0.18334120931934944,0.15650454131294061,0.1953259636067612,0.2087406638007592,44.66425315741613,18.2518115942029,34.78260869565217,83.16326530612244,42,1
R_0MRUAPdm4VOMRBT,0.20975070841480095,0.19751141188299665,0.2152277012856644,0.22372195416092228,47.305031621736504,33.33333333333333,50.0,61.684782608695656,35,1
R_0OsPhC57tiO8gsp,0.18633058552850895,0.15688829025568352,0.2048759249662231,0.2179660380719765,46.31266697593128,18.573667711598745,52.17391304347826,69.56521739130434,35,1
R_0POTr13HtSf8si5,0.2100498068327138,0.1939792641403261,0.2155060292312449,0.2265307315109889,46.79035525891998,24.193548387096776,52.17391304347826,66.66666666666666,49,1
R_0SzqZhWZPIvzfDX,0.1907611839368906,0.1839756762555698,0.1897327320941648,0.2183613931710262,44.92884907472655,25.53191489361702,39.130434782608695,70.83333333333334,37,0
R_0UI4VrrussCTiRH,0.16325474239013377,0.12982256394808056,0.1668496088429864,0.2035462070879587,23.750611628232893,9.090909090909092,12.280701754385964,25.929229854296757,35,0
R_0UoRQwU52oYuF4l,0.17809085411131603,0.1353532968133265,0.1794017222922726,0.2089353987844551,42.271578782824356,17.556848228450555,27.27272727272727,63.83928571428572,40,0
