comment_id,text,label,annotator_id,social_group,probs,brier_score
Ugw-4AhDDIPtUPBMNjZ4AaABAg,"On stage, she's acting, off stage - That's ellen, that's real.",1.0,80514039f2440568f87657f295d732a1,Female,"{""1"": 0.4145687222480774, ""2"": 0.23320238292217255, ""3"": 0.12533670663833618, ""4"": 0.22689223289489746}",0.11607562693745127
Ugw-8-4r_ie_L9ZQ5zd4AaABAg,"… and here comes Ted Cruz, carrying what appears to be the final nail in the Ellen coffin",2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.25924235582351685, ""2"": 0.20236307382583618, ""3"": 0.24696511030197144, ""4"": 0.29142943024635315}",0.21233853589241858
Ugw-8Nqin-FLbUbF6114AaABAg,"Helen is such a hypocrite, tells people to be nice and not bully people. Helen is going to be nice to celebrities of course she is..",2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.24009624123573303, ""2"": 0.18555127084255219, ""3"": 0.1090739443898201, ""4"": 0.4652785658836365}",0.23733855167429901
Ugw-Coi_2IQKUwIZnN14AaABAg,"It's not about being racist but respecting the original created characters who we have grown up with and loved whatever characteristics they may have. We even have Princess and the Frog, Mulan, Moana, and Encanto showing different ethnicity including their culture. We can create new characters that would serve as a role model for generations to come.",1.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.4576760530471802, ""2"": 0.16251496970653534, ""3"": 0.14203931391239166, ""4"": 0.23776964843273163}",0.09930898780743219
Ugw-XhqZFNM7Z1aSiMt4AaABAg,If Ted Cruz is in your corner.....you're a loser.,3.0,5b0a7f3d17b66540674a4305eb32604e,Male,"{""1"": 0.40142977237701416, ""2"": 0.2125944197177887, ""3"": 0.09330132603645325, ""4"": 0.2926745116710663}",0.27852577614873897
Ugw-XkoygOhQH9eyR814AaABAg,"Clarification of some jewish terms:


A major jewish publication, the Jewish Chronicle, reveals that the jewish word for gentile (ie - non-jewish) woman is the offensive Yiddish word 'shiksa' - meaning 'whore'. It is derived from the hebrew root 'sheigetz' (ie - 'abomination'). It is also pointed out that a little gentile girl is called a 'shikselke', and it means 'little female abomination'. Even the terms 'gentile' and 'goy/goyem' are extremely derogatory and offensive. It is derived from the old Yiddish terminology which means 'heathen' and 'animal like'. (The jewish chronicle, May 17, 1991, 'Some carefully and carelessly chosen words', by C. Bermant).


Shiksa - the jewish term for a gentile (non-jewish) woman, from the root word 'sheigetz', meaning 'abomination' or 'whore'.


Shikselke - A gentile (non-jewish) little girl, meaning 'little female abomination'.


HERE ARE ACTUAL VERSES FROM THE TALMUD. FULLY REFERENCED:


1) talmud sanhedrin 59a, page 400, soncino edition, 1935.

A heathen (gentile/non-jew) who pries into the torah and other jewish scriptures is condemned to death, for it is written, it is OUR inheritance, not theirs.


2) 57a Gittin, London, soncino press, page 261, translated by M. Simon 1936.

Balaam (Jesus) is raised from the dead and being punished in boiling hot semen. Those who mock the words of the jewish sages and sin against israel are boiled in hot excrement.


3) talmud sanhedrin, baba mezia, 114a-114b.

Only jews are human. Gentiles are animals.


4) talmud sanhedrin 57a, page 388, soncino edition 1935.

For murder, whether of a Cuthean (gentile) by a Cuthean, or of an israelite by a Cuthean, punishment is incurred; but of a Cuthean by an israelite, there is no death penalty.


5) babylonian talmud. Funk &amp; wagnall's jewish encyclopaedia, 1907, gentile, page 617.

Even the best of the gentiles should be killed.


6) talmud, moed kattan, baba mezia, 114a-114b, soncino edition 1935, talmud sanhedrin.

If a jew is tempted to do evil, he should go to a city where he is not known and do the evil there.


7) Funk &amp; Wagnall's jewish encyclopaedia, 1907, gentile, page 621.

Gentiles' flesh is as the flesh of asses and whose issue is like the issue of horses.


8) talmud sanhedrin, 58b, page 398, soncino edition. 1935.

If a heathen (gentile) hits a jew, the gentile must be killed. Hitting a jew is hitting God.


9) talmud, babba kamma, 37b, page 211, soncino edition, 1935.

If an ox of an israelite gores an ox of a Canaanite, there is no liability. But if an ox of a Canaanite (gentile) gores an ox of an israelite, the payment is to be in full.


10) talmud baba mezia 24a, also affirmmed in baba kamma 113b, talmud sanhedrin, page 666, soncino edition, 1935.

If a jew finds an object lost by a heathen (gentile), it does not have to be returned.


11) talmud sanhedrin, 76a, page 470, soncino edition, 1935.

God will not spare a jew who marries his daughter to an old man or takes a wife for his infant son or returns a lost article to a Cuthean (gentile).


12) talmud sanhedrin, 57a, page 388, soncino edition, 1935.

What a jew obtains by theft from a Cuthean (gentile), he may keep.


13) talmud, babba kamma, 37b, soncino edition, 1935.

Gentiles are outside the protection of the law and God has exposed their money to israel.


14) talmud, babba kamma, 113a, page 664-665, soncino edition, 1935.

Jews may use lies (subterfuges) to circumvent a gentile.


15) talmud yebamoth, 98a, soncino edition, 1936.

All gentile (non-jew) children are animals.


16) talmud, abodah zarah, 22a-22b, soncino edition, 1935.

Gentiles prefer sex with cows.


17) talmud, abodah zarah, 67b, soncino edition, 1935.

The vessels of gentiles, do they impart a worsened flavour to the food cooked in them?.


18) talmud sanhedrin 105a-b, page 717, soncino edition, 1935.

Balaam (Jesus) fornicated with his jackass.


19) 57a Gittin, talmud sanhedrin, pg.261, soncino press 1936, translated by Simon M. Trans

jewish priests raised balaam (Jesus) from the dead and punished him in boiling hot semen.


20) talmud sanhedrin 106a and 105a-b, pg.726, soncino edition 1935.

She who was the descendant of princes and governors (the virgin Mary), played the harlot with a carpenter.


21) talmud sanhedrin, 52b, pg.356, soncino edition, 1935.

Jesus was lowered into a pit of dung upto his armpits. Then a hard cloth was placed within a soft one, wound round his neck and the two ends pulled in opposite directions until he was dead.


22) talmud sanhedrin 106 soncino 1935 edition &amp; jewish encyclopaedia, balaam, pg.469.

Hast thou heard how old balaam (Jesus) was?. Bloody and deceitful men shall not live out half their days. It follows that he was thirty three or thirty four years old.


23) talmud sanhaedrin 90a, soncino edition 1935.

Those who read the uncanonical books (new testament), will have no portion in the world to come.


24) talmud sanhedrin 116a, soncino edition 1935.

jews must destroy the books of the christians.


25) The jewish press, (1988).Feb.19.8C.

'Marriage to a gentile can never be sanctioned or condoned. Such a liaison classifies the woman as 'zona'. Common parlance interprets the term 'zona' to refer to a prostitute.


A leading zionist academic, reported that the zionists publicly and ceremoniously burned hundreds of copies of the new testament in Jerusalem on March 23, 1980. They were destroyed under the auspices of yad le'akhim, a jewish religious organisation subsidized by the israeli ministry of religions (I. Shahak, jewish history, jewish religion, 1994, page 21). Furthermore, Dr. Shahak wrote -


'jewish children are actually taught passages such as that which commands every jew, whenever passing near a cemetery, to utter a blessing if it is jewish, but to curse the mothers of the dead if it is non-jewish. It became customary to spit (usually three times) upon seeing a church or a crucifix'. By I. Shahak, jewish history, jewish religion, page 23 &amp; 93, 1994 edition.

Furthermore, Dr. Shahak quoted the very popular, israeli published 'talmudic encyclopaedia', which discusses the relationship between jew and goy ('goy' meaning any non-jew):


'If a jew has coitus (sexual intercourse) with a gentile woman, whether she be a child of three or an adult, whether married or unmarried and even if she is a minor aged only nine years and one day old - because he had willful coitus with her, she must be killed and as is the case with a beast, because through her, a jew got into trouble' (Chapter 'Goy', talmudic encyclopaedia). By I. Shahak, jewish history, jewish religion, page 87, 1994 edition.",1.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.6090834736824036, ""2"": 0.16450989246368408, ""3"": 0.07707615196704865, ""4"": 0.14933039247989655}",0.05202988364671912
Ugw-z2euYCdy_8PlvCp4AaABAg,This audio sounds like made by ai.,2.0,80514039f2440568f87657f295d732a1,Female,"{""1"": 0.40023162961006165, ""2"": 0.23892904818058014, ""3"": 0.18449410796165466, ""4"": 0.17634524405002594}",0.2011375180038183
Ugw-zAoUth-zJSm-Rk14AaABAg,Kanye is just tryna get attention &amp,2.0,276cbe932710f817028a14564a543ae3,Male,"{""1"": 0.4967547357082367, ""2"": 0.17381998896598816, ""3"": 0.1623009443283081, ""4"": 0.16712433099746704}",0.24590270415548288
Ugw0Azrl35Lsi3YKzEp4AaABAg,"That’s Ai generated, don’t let this fool you",2.0,2dc0ccbf44154f06a0a8bf39a76e3e25,Female,"{""1"": 0.3779659569263458, ""2"": 0.2559973895549774, ""3"": 0.20679934322834015, ""4"": 0.1592373102903366}",0.19113015957310753
Ugw0LNU6yznhlqbjGHx4AaABAg,When a news segment is about someones tweet lmao. get a soul why dont ya,1.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.2810923457145691, ""2"": 0.22619865834712982, ""3"": 0.21465879678726196, ""4"": 0.2780502736568451}",0.17284610053675592
Ugw0SKomzyhYyP_9cO14AaABAg,So she hates the trans community?,1.0,e82b8b10b5ddbb8ebf76bf7f1fc7f150,Female,"{""1"": 0.3260895013809204, ""2"": 0.24003338813781738, ""3"": 0.18429778516292572, ""4"": 0.2495793253183365}",0.15200672520306313
Ugw0cnGnpB65X7vH34p4AaABAg,"I never liked Ellen, she is a stupid over hyped KAREN",4.0,80514039f2440568f87657f295d732a1,Female,"{""1"": 0.2841092050075531, ""2"": 0.20181944966316223, ""3"": 0.2487669587135315, ""4"": 0.2653043270111084}",0.18077796557213643
Ugw0hiW_vKxKJg798KN4AaABAg,And Emma Watson is hailed as a feminist 😂,2.0,5b0a7f3d17b66540674a4305eb32604e,Male,"{""1"": 0.3890185058116913, ""2"": 0.271457701921463, ""3"": 0.14679113030433655, ""4"": 0.19273270666599274}",0.18520070252708526
Ugw0n4xsKzRQbiYUYNp4AaABAg,The reactions from the kids 🥰🥰🥰,1.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.41088977456092834, ""2"": 0.1999058574438095, ""3"": 0.15132512152194977, ""4"": 0.23787921667099}",0.1166247559212138
Ugw0qsGcLBGItHFSQb14AaABAg,"I'm Asian, I don't think I want an Asian mermaid. The same thing as I don't want to see a white or asian Black Panther. Helle Bailey is nice beautiful and everything but not for this part.",2.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.4648057818412781, ""2"": 0.15461322665214539, ""3"": 0.26941871643066406, ""4"": 0.1111622303724289}",0.25391667440227456
Ugw0tPb9IaRFcdHeTD14AaABAg,So much for freedom of speech.,2.0,e82b8b10b5ddbb8ebf76bf7f1fc7f150,Female,"{""1"": 0.5428957343101501, ""2"": 0.2258957475423813, ""3"": 0.09463969618082047, ""4"": 0.1365688443183899}",0.2303952233341961
Ugw1-cPEeNg4IQUDSy94AaABAg,kevin hart is black js 😄,2.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.4390281140804291, ""2"": 0.18717823922634125, ""3"": 0.1394033581018448, ""4"": 0.23439031839370728}",0.23194925433674596
Ugw16D2oK20A__5E66N4AaABAg,"My suggestion is, don't allow pigs to have microphones. This will always turn out bad.",4.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.5316901206970215, ""2"": 0.1692754328250885, ""3"": 0.0951881855726242, ""4"": 0.20384620130062103}",0.23856755461524848
Ugw1Cv1E4ZprjTRZwtp4AaABAg,she actually chose to have those lashes on a program. She’s the delusional one. Yuck.,3.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.27944061160087585, ""2"": 0.24116070568561554, ""3"": 0.22864480316638947, ""4"": 0.25075387954711914}",0.1985279722922012
Ugw1DH6JocRzddkSsId4AaABAg,TOP G,1.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.4685010015964508, ""2"": 0.20837652683258057, ""3"": 0.12426351010799408, ""4"": 0.19885897636413574}",0.09522456866593415
Ugw1ELFXR9p7t7aVoNl4AaABAg,Speaking out against the Synagogue of Satan will never end good,2.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.6518221497535706, ""2"": 0.11341632902622223, ""3"": 0.08857446908950806, ""4"": 0.14618705213069916}",0.3100297028329645
Ugw1N5Ie4Oya-s1zv014AaABAg,"Go JK, Go JK!",1.0,5b0a7f3d17b66540674a4305eb32604e,Male,"{""1"": 0.4919801950454712, ""2"": 0.2561537027359009, ""3"": 0.12328439950942993, ""4"": 0.12858176231384277}",0.08885778860337101
Ugw1SAmYSjT1v9h9iHx4AaABAg,She be needin weight watchers.,4.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.5650511384010315, ""2"": 0.12863561511039734, ""3"": 0.0645640417933464, ""4"": 0.24174922704696655}",0.22873566516492438
Ugw1bbBQJxY3yxy4FBN4AaABAg,"I’m starting to see the truth. Kanye wasn’t an antisemite, he was exposing Hollywood and the IRS. I’m actually getting scared how right he is, a test ago you wouldn’t be able to tell me shit. Now I see.",1.0,1ee06d457c279606e28bfa01c438a233,Female,"{""1"": 0.6047466397285461, ""2"": 0.12701603770256042, ""3"": 0.18430589139461517, ""4"": 0.08393143117427826}",0.05334285984531506
Ugw1nCetQgEz2KVCeBB4AaABAg,I'm glad this is getting racist remarks Ariel is not black,2.0,e82b8b10b5ddbb8ebf76bf7f1fc7f150,Female,"{""1"": 0.26960331201553345, ""2"": 0.18786399066448212, ""3"": 0.24112050235271454, ""4"": 0.3014122247695923}",0.22030981735113653
Ugw1oyNKWf7LfzCgnO54AaABAg,LIZZLY BEAR😝 LIZBIAN🖖✌️ 👀 MY COMEDY N YESHUA CHRIST VIDEO,4.0,5f564ffcb50cab0ead68060d76b72988,Female,"{""1"": 0.32047876715660095, ""2"": 0.23569953441619873, ""3"": 0.21114091575145721, ""4"": 0.2326807677745819}",0.1979050502923992
Ugw1zjm6xZG2hX6gw754AaABAg,"So, making an established white character race swap to become black is not racist?",1.0,5eb9de9cdba3f80b1997c345b25fe0aa,Female,"{""1"": 0.5942332148551941, ""2"": 0.1500082015991211, ""3"": 0.08433882147073746, ""4"": 0.17141973972320557}",0.055911727111899526
Ugw2VnU0tp-VzvWbNZh4AaABAg,1.5M racists pos!,2.0,e82b8b10b5ddbb8ebf76bf7f1fc7f150,Female,"{""1"": 0.2964516282081604, ""2"": 0.16201698780059814, ""3"": 0.20306140184402466, ""4"": 0.3384699821472168}",0.2364737395839125
Ugw2ZzXiYjBamRelnG14AaABAg,"Slytherin House are the good guys.
Who knew",2.0,2dc0ccbf44154f06a0a8bf39a76e3e25,Female,"{""1"": 0.2040919065475464, ""2"": 0.04915497452020645, ""3"": 0.016400663182139397, ""4"": 0.7303524613380432}",0.3698608670833084
Ugw2d4oklL_P_AlcWb94AaABAg,Emma watson is so ditsy she thinks unicorns are real,3.0,b435e95b3257c3d173cc86fea4439ce4,Male,"{""1"": 0.3009524345397949, ""2"": 0.18125341832637787, ""3"": 0.20524254441261292, ""4"": 0.3125516176223755}",0.2131882741001319
Ugw2h8sGbSNTMpch-Ox4AaABAg,Remember the national outrage when Jesus was depicted as a white man.....? No? Me neither.....,1.0,9353d091e26ba7e7bc594983cdf2d8ac,Female,"{""1"": 0.3285495638847351, ""2"": 0.28460177779197693, ""3"": 0.19859454035758972, ""4"": 0.18825407326221466}",0.1516808119103477
Ugw2wCivJJLEWS-TwFZ4AaABAg,"He's an idiot man ill never buy this scumbags stuff just trying to stay relevant. Its True Black and all lives matter but that line was turned into a business making blm patented and its owners rich. Its more of a clothing brand than a sentiment. He's mentioned slavery was an option, wlm and now this on Jews. Just ignore him. He'll be extinct soon enough from the limelight",2.0,1ee06d457c279606e28bfa01c438a233,Female,"{""1"": 0.8455531597137451, ""2"": 0.06225132569670677, ""3"": 0.06298531591892242, ""4"": 0.029210207983851433}",0.3997882770828371
Ugw2xYL1UlMP4b8d4mZ4AaABAg,"POV: you've searched everywhere to find his so-called ""Anti-Semitic"" remarks and you still can't find them o_o",1.0,5eb9de9cdba3f80b1997c345b25fe0aa,Female,"{""1"": 0.36244338750839233, ""2"": 0.2625354528427124, ""3"": 0.19478727877140045, ""4"": 0.18023386597633362}",0.13645740713676108
