comment_id,label,majority_type
1,0.75,absolute_majority
2,0.6666666666666666,absolute_majority
3,1.0,unanimity
4,1.0,unanimity
5,1.0,unanimity
6,0.5,no_majority
7,0.3333333333333333,no_majority
8,1.0,unanimity
10,0.6666666666666666,absolute_majority
11,0.5,no_majority
12,0.5,no_majority
13,1.0,unanimity
15,1.0,unanimity
17,1.0,unanimity
18,0.6666666666666666,absolute_majority
19,1.0,unanimity
22,1.0,unanimity
23,0.5,no_majority
24,1.0,unanimity
25,1.0,unanimity
26,0.6666666666666666,absolute_majority
27,1.0,unanimity
28,1.0,unanimity
29,0.3333333333333333,no_majority
31,1.0,unanimity
32,0.5,no_majority
34,0.5,no_majority
35,0.5,no_majority
36,1.0,unanimity
37,1.0,unanimity
38,0.6666666666666666,absolute_majority
40,0.3333333333333333,no_majority
41,1.0,unanimity
44,0.5,no_majority
45,0.6666666666666666,absolute_majority
46,0.5,no_majority
48,1.0,unanimity
49,1.0,unanimity
54,1.0,unanimity
55,1.0,unanimity
56,0.6666666666666666,absolute_majority
57,0.5,no_majority
58,1.0,unanimity
60,0.5,no_majority
61,1.0,unanimity
62,0.6666666666666666,absolute_majority
63,0.6666666666666666,absolute_majority
64,0.5,no_majority
66,0.5,no_majority
67,0.6666666666666666,absolute_majority
68,1.0,unanimity
69,1.0,unanimity
71,0.6666666666666666,absolute_majority
72,0.75,absolute_majority
73,1.0,unanimity
74,1.0,unanimity
76,0.6666666666666666,absolute_majority
77,0.3333333333333333,no_majority
78,1.0,unanimity
80,0.5,no_majority
81,0.6666666666666666,absolute_majority
82,0.3333333333333333,no_majority
83,1.0,unanimity
85,1.0,unanimity
86,0.6666666666666666,absolute_majority
87,0.5,no_majority
88,1.0,unanimity
89,0.6666666666666666,absolute_majority
91,0.75,absolute_majority
95,1.0,unanimity
96,0.5,no_majority
97,0.5,no_majority
99,1.0,unanimity
100,1.0,unanimity
101,1.0,unanimity
102,0.5,no_majority
103,1.0,unanimity
105,1.0,unanimity
106,1.0,unanimity
107,1.0,unanimity
108,0.5,no_majority
109,0.5,no_majority
110,0.5,no_majority
111,0.5,no_majority
112,1.0,unanimity
113,0.75,absolute_majority
117,1.0,unanimity
119,0.75,absolute_majority
121,0.5,no_majority
122,1.0,unanimity
125,0.5,no_majority
127,0.5,no_majority
128,1.0,unanimity
129,1.0,unanimity
130,0.5,no_majority
131,1.0,unanimity
132,0.6666666666666666,absolute_majority
133,0.5,no_majority
135,1.0,unanimity
136,0.6666666666666666,absolute_majority
137,1.0,unanimity
138,0.6666666666666666,absolute_majority
140,0.6666666666666666,absolute_majority
141,1.0,unanimity
142,1.0,unanimity
143,0.6666666666666666,absolute_majority
144,1.0,unanimity
145,1.0,unanimity
147,1.0,unanimity
148,1.0,unanimity
149,1.0,unanimity
150,0.5,no_majority
151,1.0,unanimity
152,1.0,unanimity
153,0.5,no_majority
156,1.0,unanimity
157,1.0,unanimity
159,0.75,absolute_majority
160,0.6666666666666666,absolute_majority
161,0.5,no_majority
162,0.5,no_majority
163,1.0,unanimity
167,0.75,absolute_majority
169,1.0,unanimity
170,1.0,unanimity
171,0.6666666666666666,absolute_majority
173,1.0,unanimity
174,0.5,no_majority
175,0.5,no_majority
176,0.75,absolute_majority
177,1.0,unanimity
178,1.0,unanimity
180,1.0,unanimity
181,1.0,unanimity
182,1.0,unanimity
183,0.5,no_majority
184,1.0,unanimity
185,1.0,unanimity
186,1.0,unanimity
188,1.0,unanimity
190,1.0,unanimity
193,0.5,no_majority
195,0.3333333333333333,no_majority
196,0.6666666666666666,absolute_majority
197,1.0,unanimity
198,1.0,unanimity
199,0.5,no_majority
200,0.5,no_majority
201,0.5,no_majority
202,0.5,no_majority
203,0.6666666666666666,absolute_majority
204,1.0,unanimity
205,1.0,unanimity
206,0.5,no_majority
207,1.0,unanimity
208,0.6666666666666666,absolute_majority
209,0.5,no_majority
210,1.0,unanimity
212,1.0,unanimity
214,1.0,unanimity
216,1.0,unanimity
219,1.0,unanimity
221,0.6666666666666666,absolute_majority
222,1.0,unanimity
224,0.5,no_majority
225,0.5,no_majority
227,0.5,no_majority
229,0.5,no_majority
230,1.0,unanimity
231,1.0,unanimity
232,1.0,unanimity
233,0.5,no_majority
234,0.5,no_majority
235,1.0,unanimity
236,0.5,no_majority
237,0.5,no_majority
238,1.0,unanimity
239,1.0,unanimity
240,1.0,unanimity
242,0.75,absolute_majority
243,1.0,unanimity
244,0.75,absolute_majority
247,1.0,unanimity
248,0.6666666666666666,absolute_majority
249,1.0,unanimity
250,0.5,no_majority
251,1.0,unanimity
252,0.5,no_majority
253,1.0,unanimity
254,1.0,unanimity
255,0.5,no_majority
256,0.5,no_majority
257,0.5,no_majority
259,0.5,no_majority
260,0.75,absolute_majority
262,1.0,unanimity
263,1.0,unanimity
264,0.5,no_majority
265,1.0,unanimity
267,0.5,no_majority
268,0.6666666666666666,absolute_majority
269,0.6666666666666666,absolute_majority
270,1.0,unanimity
271,1.0,unanimity
272,0.5,no_majority
273,0.6666666666666666,absolute_majority
274,0.6666666666666666,absolute_majority
275,1.0,unanimity
276,0.5,no_majority
277,0.5,no_majority
278,1.0,unanimity
279,0.75,absolute_majority
280,1.0,unanimity
281,0.6666666666666666,absolute_majority
282,1.0,unanimity
